order_id,lens_type,store_id,inventory_available,current_status,days_elapsed,previous_qc_failures,sla_days,breached
1,Bifocal,2,1,Delivered,2,2,2,1
2,Bifocal,1,1,Out for Delivery,1,2,2,1
3,Progressive,4,1,Delivered,9,1,2,1
4,Progressive,3,1,Ready for Dispatch,9,2,2,0
5,Bifocal,3,1,Out for Delivery,6,0,2,1
6,Single Vision,2,0,Ready for Dispatch,7,0,5,1
7,Progressive,3,1,Order Placed,6,3,2,1
8,Progressive,3,0,Ready for Dispatch,10,1,5,1
9,Bifocal,2,0,Delivered,7,2,5,1
10,Progressive,4,0,Delivered,6,0,5,0
11,Progressive,1,0,Out for Delivery,9,3,5,0
12,Single Vision,2,0,Ready for Dispatch,8,0,5,1
13,Single Vision,3,0,Order Placed,10,3,5,1
14,Progressive,2,1,Delivered,3,3,2,1
15,Bifocal,1,0,Order Placed,3,3,5,1
16,Progressive,4,1,Order Placed,7,3,2,1
17,Bifocal,3,1,Order Placed,8,0,2,1
18,Single Vision,3,1,Order Placed,4,0,2,0
19,Single Vision,2,1,Out for Delivery,1,1,2,0
20,Single Vision,2,1,In Production,2,3,2,1
21,Single Vision,1,1,Ready for Dispatch,1,1,2,1
22,Bifocal,3,1,Order Placed,6,0,2,0
23,Progressive,4,1,In Production,1,2,2,1
24,Progressive,4,0,Ready for Dispatch,6,3,5,0
25,Single Vision,3,0,Out for Delivery,7,1,5,1
26,Single Vision,4,0,Order Placed,5,0,5,0
27,Single Vision,3,1,In Production,10,3,2,1
28,Progressive,1,1,Order Placed,6,2,2,1
29,Bifocal,1,1,Out for Delivery,4,0,2,1
30,Bifocal,3,0,Ready for Dispatch,10,3,5,1
31,Single Vision,1,1,Delivered,6,3,2,1
32,Bifocal,2,1,Order Placed,5,2,2,0
33,Bifocal,4,1,In Production,9,3,2,1
34,Bifocal,3,0,Order Placed,2,0,5,1
35,Bifocal,2,0,In Production,10,1,5,1
36,Progressive,1,0,Out for Delivery,7,3,5,1
37,Bifocal,1,0,Delivered,4,3,5,1
38,Single Vision,4,0,Order Placed,4,2,5,1
39,Single Vision,3,0,Order Placed,9,2,5,1
40,Single Vision,2,1,In Production,5,0,2,0
41,Progressive,2,0,Delivered,8,2,5,0
42,Progressive,4,1,Delivered,4,0,2,1
43,Single Vision,4,1,Ready for Dispatch,10,2,2,0
44,Bifocal,4,0,Delivered,7,3,5,0
45,Progressive,3,0,Out for Delivery,8,0,5,1
46,Single Vision,2,0,Delivered,3,0,5,0
47,Progressive,4,1,Order Placed,8,1,2,1
48,Bifocal,4,0,Out for Delivery,7,1,5,1
49,Bifocal,3,0,Order Placed,8,1,5,1
50,Single Vision,2,1,Order Placed,8,0,2,1
51,Single Vision,1,1,Delivered,6,0,2,1
52,Progressive,1,1,Ready for Dispatch,3,1,2,1
53,Progressive,3,1,Order Placed,3,1,2,1
54,Bifocal,2,0,Out for Delivery,7,2,5,1
55,Bifocal,2,1,Order Placed,9,2,2,1
56,Progressive,1,1,In Production,9,3,2,1
57,Progressive,4,1,Order Placed,2,3,2,1
58,Progressive,4,0,In Production,9,3,5,1
59,Progressive,3,0,Ready for Dispatch,7,1,5,1
60,Bifocal,2,0,Out for Delivery,5,3,5,1
61,Single Vision,3,1,In Production,3,2,2,1
62,Progressive,4,0,Ready for Dispatch,2,0,5,0
63,Progressive,4,1,Order Placed,7,3,2,1
64,Single Vision,2,0,Delivered,10,1,5,1
65,Bifocal,2,1,Delivered,3,2,2,1
66,Bifocal,4,0,Out for Delivery,5,2,5,1
67,Bifocal,3,0,Out for Delivery,7,1,5,1
68,Bifocal,2,1,In Production,5,1,2,1
69,Progressive,2,1,Order Placed,1,1,2,0
70,Single Vision,4,0,Ready for Dispatch,6,2,5,1
71,Progressive,1,0,Order Placed,8,1,5,1
72,Progressive,1,1,In Production,9,2,2,0
73,Progressive,3,1,Order Placed,8,1,2,1
74,Bifocal,3,0,Ready for Dispatch,2,2,5,1
75,Bifocal,4,1,Ready for Dispatch,2,0,2,0
76,Progressive,4,0,In Production,9,2,5,1
77,Single Vision,2,0,Order Placed,5,2,5,1
78,Single Vision,2,0,Delivered,9,3,5,1
79,Single Vision,4,0,Out for Delivery,7,3,5,1
80,Progressive,3,1,Out for Delivery,10,2,2,1
81,Single Vision,3,1,Order Placed,6,2,2,1
82,Single Vision,4,0,In Production,6,1,5,1
83,Progressive,3,1,In Production,3,1,2,1
84,Bifocal,1,1,In Production,7,0,2,1
85,Progressive,2,0,In Production,4,0,5,0
86,Progressive,2,0,Delivered,7,2,5,1
87,Single Vision,3,1,In Production,6,3,2,0
88,Progressive,4,1,Order Placed,1,0,2,0
89,Progressive,4,1,Delivered,1,2,2,1
90,Progressive,4,1,Out for Delivery,8,0,2,1
91,Single Vision,1,0,Ready for Dispatch,3,2,5,1
92,Progressive,4,1,Order Placed,7,1,2,1
93,Progressive,4,1,Out for Delivery,4,2,2,1
94,Bifocal,1,0,In Production,7,3,5,0
95,Progressive,3,1,Delivered,2,3,2,1
96,Bifocal,1,1,Order Placed,5,3,2,1
97,Single Vision,4,0,Ready for Dispatch,10,1,5,1
98,Single Vision,2,0,Out for Delivery,10,1,5,1
99,Bifocal,2,0,Ready for Dispatch,4,3,5,1
100,Single Vision,2,1,Order Placed,2,2,2,1
101,Progressive,2,1,Ready for Dispatch,6,3,2,1
102,Single Vision,2,0,Delivered,6,0,5,0
103,Single Vision,4,1,In Production,3,1,2,1
104,Bifocal,4,0,Ready for Dispatch,7,1,5,0
105,Bifocal,3,0,Order Placed,9,0,5,1
106,Bifocal,1,0,Out for Delivery,9,0,5,0
107,Bifocal,4,0,Ready for Dispatch,4,0,5,0
108,Single Vision,3,0,Out for Delivery,1,0,5,1
109,Single Vision,1,0,Ready for Dispatch,8,1,5,1
110,Bifocal,1,1,Order Placed,10,1,2,1
111,Progressive,1,0,Delivered,2,2,5,1
112,Progressive,3,1,Out for Delivery,7,0,2,1
113,Bifocal,1,1,Ready for Dispatch,1,0,2,0
114,Bifocal,1,1,In Production,4,3,2,1
115,Bifocal,4,0,Delivered,5,3,5,1
116,Bifocal,3,0,Order Placed,5,2,5,0
117,Progressive,4,0,Out for Delivery,5,0,5,0
118,Progressive,1,0,Out for Delivery,6,0,5,0
119,Single Vision,3,1,Order Placed,3,3,2,1
120,Bifocal,1,0,Out for Delivery,1,3,5,1
121,Progressive,4,1,In Production,4,3,2,0
122,Bifocal,1,0,Order Placed,8,2,5,1
123,Progressive,4,0,Order Placed,8,2,5,1
124,Progressive,3,0,Order Placed,6,0,5,0
125,Single Vision,4,1,Out for Delivery,3,0,2,1
126,Progressive,4,1,In Production,5,2,2,1
127,Bifocal,2,0,Out for Delivery,1,2,5,0
128,Bifocal,3,1,In Production,2,2,2,1
129,Progressive,3,1,Ready for Dispatch,3,1,2,0
130,Progressive,3,0,In Production,7,3,5,1
131,Progressive,4,0,In Production,3,0,5,0
132,Progressive,4,1,Out for Delivery,4,3,2,1
133,Single Vision,4,1,Delivered,3,3,2,1
134,Progressive,1,0,In Production,7,2,5,1
135,Progressive,1,0,Order Placed,10,0,5,1
136,Progressive,4,0,In Production,3,2,5,1
